Kreis,Typ,Bundesland,hc-key,Max,CDU,SPD,Grüne,FDP,Linke,AfD,Partei
Rhein-Erft-Kreis,Kreis,Nordrhein-Westfalen,de-nw-05362000,2,38.0,24.7,18.6,5.2,3.2,5.4,CDU
Rhein-Kreis Neuss,Kreis,Nordrhein-Westfalen,de-nw-05162000,2,37.8,23.2,19.0,6.9,2.3,4.5,CDU
Rheinisch-Bergischer Kreis,Kreis,Nordrhein-Westfalen,de-nw-05378000,2,37.2,18.8,24.4,6.5,2.9,4.8,CDU
Minden-Lübbecke,Kreis,Nordrhein-Westfalen,de-nw-05770000,2,35.8,28.3,16.8,6.5,2.8,5.9,CDU
Essen,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05113000,2,34.4,24.3,18.6,3.0,3.9,7.5,CDU
Mönchengladbach,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05116000,2,34.0,25.2,21.2,5.5,4.1,5.9,CDU
Siegen-Wittgenstein,Kreis,Nordrhein-Westfalen,de-nw-05970000,2,33.7,30.0,14.0,6.1,3.5,6.7,CDU
Recklinghausen,Kreis,Nordrhein-Westfalen,de-nw-05562000,2,33.6,30.4,17.2,4.5,4.2,7.1,CDU
Düsseldorf,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05111000,2,33.4,17.9,24.0,9.2,4.1,3.6,CDU
Hamm,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05915000,1,33.4,37.1,12.7,5.1,2.9,4.7,SPD
Wesel,Kreis,Nordrhein-Westfalen,de-nw-05170000,2,32.8,29.7,19.0,5.5,4.1,5.6,CDU
Oberhausen,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05119000,2,32.8,31.7,14.4,3.0,5.1,7.6,CDU
Münster,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05515000,2,32.7,17.6,30.3,4.6,4.9,2.2,CDU
Städteregion Aachen,Kreis,Nordrhein-Westfalen,de-nw-05354000,2,31.9,25.1,24.6,5.0,3.7,4.9,CDU
Krefeld,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05114000,2,30.2,28.6,20.2,5.9,3.2,5.4,CDU
Solingen,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05122000,2,30.2,28.3,18.2,5.5,4.2,5.0,CDU
Remscheid,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05120000,1,29.9,34.5,14.7,5.3,4.6,1.0,SPD
Herford,Kreis,Nordrhein-Westfalen,de-nw-05758000,1,29.9,35.4,16.0,3.8,3.3,5.9,SPD
Lippe,Kreis,Nordrhein-Westfalen,de-nw-05766000,1,29.4,29.7,19.7,6.9,3.2,5.8,SPD
Bielefeld,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05711000,2,27.8,25.2,18.2,4.8,3.4,5.7,CDU
Leverkusen,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05316000,2,27.7,24.9,22.3,7.0,6.1,3.4,CDU
Hagen,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05914000,2,27.5,25.5,13.3,4.6,2.9,9.3,CDU
Unna,Kreis,Nordrhein-Westfalen,de-nw-05978000,1,27.2,32.1,19.3,4.8,3.4,5.0,SPD
null,null,null,null,1,27.2,29.4,20.3,3.7,4.1,7.1,SPD
Ennepe-Ruhr-Kreis,Kreis,Nordrhein-Westfalen,de-nw-05954000,1,26.8,31.3,20.8,5.8,3.8,5.3,SPD
Mülheim an der Ruhr,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05117000,2,26.3,21.3,23.4,4.7,2.7,7.2,CDU
Bonn,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05314000,3,25.7,15.6,27.9,5.2,6.2,3.2,Grüne
Aachen,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05313000,3,24.8,18.3,34.1,4.9,4.6,3.7,Grüne
Wuppertal,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05124000,1,24.2,28.9,19.6,7.2,6.6,6.1,SPD
Bottrop,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05512000,1,23.9,40.2,12.8,4.1,3.4,7.0,SPD
Gelsenkirchen,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05513000,1,23.2,35.1,12.2,4.0,3.5,12.9,SPD
Dortmund,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05913000,1,22.5,30.0,24.8,3.5,5.6,5.5,SPD
Köln,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05315000,3,21.5,21.6,28.5,5.3,6.5,4.4,Grüne
Duisburg,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05112000,1,21.5,30.8,17.7,3.1,5.5,9.3,SPD
Bochum,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05911000,1,20.8,33.7,22.2,3.3,6.1,5.6,SPD
Herne,Kreisfreie Stadt,Nordrhein-Westfalen,de-nw-05916000,1,20.0,44.1,15.8,3.3,4.1,8.4,SPD
