date,Deutschland,Großbritannien,Andorra,Argentinien,Bahrain,Bangladesch,Belgien,Brasilien,Bulgarien,Cayman Islands,Chile,China,Costa Rica,Dänemark,Ecuador,Estland,Finnland,Frankreich,Gibraltar,Griechenland,Grönland,Guernsey,Indonesien,Irland,Island,Isle of Man,Israel,Italien,Jersey,Kanada,Kroatien,Lettland,Litauen,Luxemburg,Malta,Mexiko,Norwegen,Oman,Österreich,Polen,Portugal,Rumänien,Schweden,Seychellen,Singapur,Slowakei,Slowenien,Spanien,Tschechien,Ungarn,USA,Vereinigte Arabische Emirate,Zypern
2021-01-23,2.9,6.9,,0.6,,,0.1,,0.7,,0.4,,,3.8,,,,,,0.3,,,,,,,116.1,1.3,,1.6,,,3.4,,,0.2,0.4,1.2,0.5,1.2,,0.7,,,,0.5,4.6,,1,0.8,9.1,,
2021-01-24,3.2,6.9,,0.7,,,0.1,,0.7,,,,,5,,,,,,,,7.8,,,,,132,1.8,30.2,,,,,,2.7,0.2,0.4,1.6,0.5,1.3,,0.7,0.9,,,0.5,4.6,1.9,1.1,1,9.6,,
2021-01-25,3.7,7,,0.7,,,0.1,,0.7,,0.4,,0.5,5.4,,,0.8,,,0.8,,,,,14,3.7,147.6,2.9,,,2.9,1.5,3.4,2,3.3,0.2,0.4,1.9,0.5,2,,1.3,,,,0.9,4.6,2.6,1.4,1.3,10,,
2021-01-26,4.2,7,,0.9,,,0.2,,0.8,,0.5,,,5.7,,,1.3,0.1,,1.3,,,,,,7.5,161.7,4.1,,,,1.9,3.6,2,3.8,0.2,0.7,2.2,0.5,3.3,3.7,2.1,,,,1,5.4,3.7,1.8,1.8,10.4,,
2021-01-27,4.7,7,,1,,,0.4,,1.1,,0.5,,,6.5,,,1.7,0.2,,1.7,,,,2.8,14.1,12.2,175.7,5.2,,,,2.3,4.7,2.1,4.7,0.2,2.1,2.4,0.6,4,,3,,,0,1,7.6,4.1,2.2,2.7,11.4,,
2021-01-28,5.3,7,,1.1,,,1,,1.6,,0.5,,,7.9,,4.7,1.9,0.4,,2.3,,,0,,,12.2,190.4,6.6,,,,2.7,6.1,2.4,5.7,0.2,3.3,,0.6,4.7,,3.9,1.4,,,1.3,10.2,5.4,2.7,3.9,12.7,,
2021-01-29,5.8,7.1,,1.5,,,1.7,,1.9,,0.5,,,11,,5.7,2.6,0.6,,3.1,,,0,,,12.1,197.7,8.1,,,,3.2,7.9,,6.7,0.2,3.7,,0.8,5.2,,4.8,1.9,,,1.7,12.1,,3.5,5.1,14.3,,6.3
2021-01-30,6.2,7.2,,1.9,,,1.9,,1.9,,0.5,,,13.3,,7.2,3.2,0.7,,3.7,,,0.1,,,,202.5,9.6,,3,,3.4,8.1,,7.8,0.3,3.7,,1.5,5.2,,5.3,,,,1.7,12.2,,3.6,5.9,15.7,,
2021-01-31,6.6,7.3,,,,,2,,1.9,,,,,15.4,,7.7,,0.7,11.9,,,,0.1,10,,,209.2,10.5,31,,,,8.1,2.7,,0.3,3.7,,1.7,5.3,6.7,5.5,,,0,1.7,12.2,7.7,3.7,6.3,16.9,,
2021-02-01,7.4,7.3,,2.1,,,2.2,,2,,,,2.3,16.7,,7.8,3.3,1,39.3,4.5,,,0.1,,,,213.1,11.8,,,6.1,4.1,8.8,3,8.9,0.3,3.8,,1.8,6.2,6.7,6.4,,,,2.3,12.2,9,4.4,7.1,17.7,,
2021-02-02,8.3,7.3,,,,,3.3,,2.2,,0.5,,,17.3,,8.5,3.3,1.5,68.9,5.2,,,0.2,,,16.7,216.6,13.1,,,,5,9.6,3.7,10.1,0.4,4.3,,2.1,7.6,,7.2,2.8,,1,2.9,12.7,10.7,5.3,7.8,18.1,,
2021-02-03,9.2,7.4,,2.5,,,4.7,,2.4,,0.5,,,18.3,,9.7,4.2,2,89.4,6,,,0.3,,14.2,25.6,222.2,14.6,,,7,5.8,11.4,4.5,11.1,0.4,5.8,,3.1,9.1,7.4,7.9,3.4,0.1,,3.3,14.8,12.5,6.3,8.7,19.2,,
2021-02-04,10.1,7.5,,3.2,,,6.2,,2.5,48.6,0.6,,,20.2,,10.8,6.2,2.8,117,6.6,,,0.4,,,25.7,228.6,16,,,8.7,6.5,14.4,5.1,12.3,0.5,7.3,,4.4,10.4,8.3,8.6,4.4,,,4.3,17.9,14.6,7.5,9.6,20.7,,
2021-02-05,10.9,7.5,,,,,7.6,,2.5,,0.7,,,22.5,,12,7.7,3.4,144.7,7.1,,,0.4,16.1,14.2,25.7,231.8,17.4,,,,7.3,16.6,,14.6,0.5,8.1,,5.6,11.2,,9.5,5.6,,,5.5,20.2,,8.5,10.5,22.4,,11.4
2021-02-06,11.4,7.5,,3.6,,,7.9,0,2.5,,0.7,,,23.5,,13.1,8.8,3.6,165.4,7.7,,,0.5,,,25.7,234.3,18.4,,,,7.6,16.8,,17.2,0.6,8.3,,6.9,11.6,9.3,10,,16.1,,5.6,20.5,,8.7,10.9,24.9,,
2021-02-07,11.7,7.6,,4,,,8.1,0.1,2.5,,0.7,,,24,,13.2,9,3.7,165.4,,,,0.5,,,25.7,241.8,18.9,,,,7.6,16.9,5.9,19.8,0.6,8.3,,7.4,11.9,10.2,10.4,,,,5.6,20.5,16.8,8.9,11.1,27.4,,
2021-02-08,,,,4.2,,,,0.1,2.5,,1.1,,5.6,,,13.2,9,,,8.1,,,0.6,,14.2,25.7,249.2,19.5,,,,7.7,17.7,,22.5,0.6,,2.4,7.9,,10.3,12,,,,6.4,,,9.8,11.4,28.5,,
2021-02-09,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
