id,wahlkreis17,gültigerst17,gültigzweit17,cduerst17,spderst17,fdperst17,linerst17,gruerst17,csuerst17,unionerst17,parteierst17,maxerst17,cduzweit17,spdzweit17,fdpzweit17,linzweit17,gruzweit17,csuzweit17,unionzweit17,parteizweit17,maxzweit17,unionmaxerst17,spdmaxerst17,fdpmaxerst17,linmaxerst17,grumaxerst17,unionmaxzweit17,spdmaxzweit17,fdpmaxzweit17,linmaxzweit17,grumaxzweit17,wahlkreis13,gültigerst13,gültigzweit13,cduerst13,spderst13,fdperst13,linerst13,gruerst13,csuerst13,unionerst13,parteierst13,maxerst13,cduzweit13,spdzweit13,fdpzweit13,linzweit13,gruzweit13,csuzweit13,unionzweit13,parteizweit13,maxzweit13,unionmaxerst13,spdmaxerst13,fdpmaxerst13,linmaxerst13,grumaxerst13,unionmaxzweit13,spdmaxzweit13,fdpmaxzweit13,linmaxzweit13,grumaxzweit13
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,184378,184910,30.7,19.6,4.8,16.4,4.4,0,30.7,cduerst,1,27,17.6,7.4,15.8,4.7,0,27,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,166002,166451,37,27.2,1.2,21.9,3.8,0,37,cduerst,1,34.8,22.7,2.7,21.8,4.5,0,34.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0
63,Frankfurt (Oder) – Oder-Spree,137959,137998,27.1,17.1,5.1,19.1,3.3,0,27.1,cduerst,1,24.6,16.5,6.7,19,4.3,0,24.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Frankfurt (Oder) - Oder-Spree,132126,132830,33.9,24.4,1.7,28,3.9,0,33.9,cduerst,1,33.4,22.3,2.2,24.7,4,0,33.4,cduzweit,1,0,0,0,0,0,0,0,0,0,0
64,Cottbus – Spree-Neiße,129723,130028,28.4,17,5.7,15.7,3.3,0,28.4,cduerst,1,24.1,15.2,7.6,16.5,3.1,0,24.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Cottbus - Spree-Neiße,123231,123713,35.9,23.9,2,20,2.7,0,35.9,cduerst,1,35.8,21.7,2.4,22.6,3.5,0,35.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0
65,Elbe-Elster – Oberspreewald-Lausitz II,120848,121154,29.5,16.7,5.4,16.2,2.9,0,29.5,cduerst,1,27.7,15.4,6.7,15.5,2.6,0,27.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Elbe-Elster - Oberspreewald-Lausitz II,116012,116515,40.9,22.5,1.8,23.4,2.5,0,40.9,cduerst,1,39.5,19.9,2.5,21.7,2.7,0,39.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0
66,Altmark,109455,109863,32.6,19.1,6.7,19.2,3.4,0,32.6,cduerst,1,32.8,17,7.1,18.5,3.3,0,32.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Altmark,106038,106217,42.1,17.6,1.4,30.3,2.8,0,42.1,cduerst,1,42,19,2.1,24.6,3.3,0,42,cduzweit,1,0,0,0,0,0,0,0,0,0,0
67,Börde – Jerichower Land,145948,148088,37.8,20,7.6,20.3,2.4,0,37.8,cduerst,1,32.1,16.2,7.7,16.6,2.9,0,32.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Börde - Jerichower Land,138838,139326,44.6,23.1,2.7,21.4,2.6,0,44.6,cduerst,1,43.2,19.6,2.9,21.7,3.1,0,43.2,cduzweit,1,0,0,0,0,0,0,0,0,0,0
68,Harz,141128,141531,36.4,17.5,4.9,19.2,3.2,0,36.4,cduerst,1,33.6,16.2,7,17.7,3.5,0,33.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Harz,129944,130199,46,19.1,1.4,23,3.8,0,46,cduerst,1,43.5,18.7,2.3,22.9,3.6,0,43.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0
69,Magdeburg,160556,160777,27.4,21.7,6.7,18.9,4,0,27.4,cduerst,1,27.8,17.1,7.9,18.7,5.3,0,27.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Magdeburg,151568,152026,36.3,25.2,1.4,25.2,4,0,36.3,cduerst,1,37.5,20.9,2.4,24,5.6,0,37.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0
70,Dessau – Wittenberg,121399,121744,35.2,12.2,5,18.2,4.6,0,35.2,cduerst,1,31.8,14.3,7.3,17.3,3.5,0,31.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Dessau - Wittenberg,118969,119047,44.6,17.3,1.3,21.9,4.4,0,44.6,cduerst,1,42.5,17.1,2.4,22.8,4,0,42.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0
71,Anhalt,145192,145539,31.6,12.9,6.3,21.2,2,0,31.6,cduerst,1,30.7,13.9,7.5,17.8,2.4,0,30.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Anhalt,137953,138169,41,15.4,2,28.8,2.1,0,41,cduerst,1,41.5,16.8,2.6,25.6,2.6,0,41.5,cduzweit,1,0,0,0,0,5,0,0,0,0,0
72,Halle,150275,150294,27.1,21.3,6.7,20.3,3.6,0,27.1,cduerst,1,26.5,14.1,9,19.2,7,0,26.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Halle,141147,141290,36.3,23.3,2.1,25.5,3.7,0,36.3,cduerst,1,37.7,17.9,3.1,24.4,7.2,0,37.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0
73,Burgenland – Saalekreis,128915,129212,33.6,13.1,6.6,16.9,2.5,0,33.6,cduerst,1,29.9,13.2,7.8,16.3,2.6,0,29.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Burgenland - Saalekreis,121639,121847,44.8,15.4,1.5,25.7,3.9,0,44.8,cduerst,1,42.8,16.3,2.8,23.7,3.1,0,42.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0
74,Mansfeld,137657,137932,31,15.2,8.1,18.1,2.6,0,31,cduerst,1,28.8,14.4,8.1,17.3,2.4,0,28.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Mansfeld,130411,130694,41.9,18.1,1.9,27.6,2.4,0,41.9,cduerst,1,41.2,17.1,2.9,25.7,2.8,0,41.2,cduzweit,1,0,0,0,0,0,0,0,0,0,0
75,Berlin-Mitte,149071,149443,18.6,23.5,6,20.5,18,0,18.6,spderst,2,18.6,17.9,8.7,21.5,17.2,0,18.6,linzweit,4,0,0,0,0,0,0,0,0,0,0,Berlin-Mitte,139292,139400,23.9,28.3,1.5,16.7,18.4,0,23.9,spderst,2,22.6,26.1,3.7,18.7,16.7,0,22.6,spdzweit,2,0,0,0,0,0,0,0,0,0,0
76,Berlin-Pankow,186313,186652,19.6,16.4,4.2,28.8,14.2,0,19.6,linerst,4,19.8,15.6,6.6,23.5,14.3,0,19.8,linzweit,4,0,0,0,0,0,0,0,0,0,0,Berlin-Pankow,172647,172824,23.9,21,0.9,28.3,14.7,0,23.9,linerst,4,23.5,22,2.5,25.2,14.1,0,23.5,linzweit,4,0,0,0,0,0,0,0,0,0,0
77,Berlin-Reinickendorf,134860,135105,36.8,23.6,7.2,7.7,7.9,0,36.8,cduerst,1,31,20,11.4,8.5,9.1,0,31,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Berlin-Reinickendorf,130881,131056,45,29.5,2,6.5,6.7,0,45,cduerst,1,40.1,26.4,4.4,7.9,8.7,0,40.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0
78,Berlin-Spandau – Charlottenburg Nord,130574,130747,30.9,32.1,6.4,7.6,6.2,0,30.9,spderst,2,28.1,22.7,9.9,9.8,8.5,0,28.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Berlin-Spandau - Charlottenburg Nord,127763,127846,39.2,37.4,1.4,7.2,4.7,0,39.2,cduerst,1,36.6,28.9,3.8,9.5,8.2,0,36.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0
79,Berlin-Steglitz-Zehlendorf,178373,178957,35.4,24.6,9.1,7.5,12.7,0,35.4,cduerst,1,29.8,19.2,14.2,9.1,14.2,0,29.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Berlin-Steglitz - Zehlendorf,172980,173437,42.5,29.2,2.7,5.3,11.8,0,42.5,cduerst,1,37.2,25.6,6.4,7.2,13.5,0,37.2,cduzweit,1,0,0,0,0,0,0,0,0,0,0
80,Berlin-Charlottenburg-Wilmersdorf,156114,156647,30.2,27.6,9.2,9.4,13.6,0,30.2,cduerst,1,25.6,19.4,14.9,11.7,15.8,0,25.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Berlin-Charlottenburg - Wilmersdorf,151334,151665,37.1,31.5,2.5,6.2,14.7,0,37.1,cduerst,1,32.5,27.1,6.8,8.9,15.4,0,32.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0
81,Berlin-Tempelhof-Schöneberg,178666,179081,28.9,22,6.4,10.8,18.9,0,28.9,cduerst,1,25,20.2,10.4,13.2,15.6,0,25,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Berlin-Tempelhof - Schöneberg,174159,174432,35,26.2,1.5,7.4,20.4,0,35,cduerst,1,31.7,27.4,4.1,10.3,15.4,0,31.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0
82,Berlin-Neukölln,141105,141413,24.5,26.8,5.1,16.4,11,0,24.5,spderst,2,22.3,19.5,7.7,18.2,13,0,22.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Berlin-Neukölln,137723,137957,30.6,32.3,1.4,11.7,11.7,0,30.6,spderst,2,29,26.2,3,14.3,13.9,0,29,cduzweit,1,0,0,0,0,0,0,0,0,0,0
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,171349,171744,12.2,16.9,3.1,24.9,26.3,0,12.2,gruerst,5,13.9,15.9,5.9,28.5,20.4,0,13.9,linzweit,4,1,0,3,0,0,1,0,0,0,0,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,165731,165690,13.7,18,1,17.2,39.9,0,13.7,gruerst,5,15.4,24,2.2,25.1,20.8,0,15.4,linzweit,4,1,0,0,0,5,1,0,0,0,5
84,Berlin-Treptow-Köpenick,155192,155188,18.9,13.8,3.8,39.9,5,0,18.9,linerst,4,20.2,15.5,6.5,25.1,7.8,0,20.2,linzweit,4,0,0,0,4,0,0,0,0,0,0,Berlin-Treptow - Köpenick,146219,146281,22.6,17.8,1,42.2,5,0,22.6,linerst,4,25.4,21.3,2,29.5,7.4,0,25.4,linzweit,4,0,0,0,4,0,0,0,0,0,0
85,Berlin-Marzahn-Hellersdorf,136785,136939,22.3,12.6,3.5,34.2,3.2,0,22.3,linerst,4,20.9,14.5,5.3,26.1,4.1,0,20.9,linzweit,4,0,0,0,0,0,0,0,0,0,0,Berlin-Marzahn - Hellersdorf,130739,130732,25.7,17.1,0.7,38.9,3.1,0,25.7,linerst,4,26,19.2,1.7,32.9,3.9,0,26,linzweit,4,0,0,0,0,0,0,0,0,0,0
86,Berlin-Lichtenberg,147072,147126,19.7,14.1,3.4,34.8,5.9,0,19.7,linerst,4,18.5,14.9,5.3,29.3,6.7,0,18.5,linzweit,4,0,0,0,0,0,0,0,3,4,0,Berlin-Lichtenberg,136292,136401,22.7,19.5,0.7,40.3,4.2,0,22.7,linerst,4,23.1,20.4,1.6,34.6,5.8,0,23.1,linzweit,4,0,0,0,0,0,0,0,3,4,0
87,Aachen I,139357,139801,33.7,32.5,7.3,8.8,9.4,0,33.7,cduerst,1,27.8,24.8,14.2,10.3,12.8,0,27.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Aachen I,132971,133234,40.7,35.3,2.2,6.2,9,0,40.7,cduerst,1,36.6,27.3,6.3,7.7,13.1,0,36.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0
88,Aachen II,171176,171607,36.5,36.9,6.4,5.1,4.5,0,36.5,spderst,2,30.7,35.3,11.2,5.9,4.9,0,30.7,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Aachen II,161549,162268,45.6,35.7,2.4,5.8,5.6,0,45.6,cduerst,1,40.9,32.6,4.9,6.5,6.3,0,40.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0
89,Heinsberg,140604,140890,45.6,28,6.6,4.6,5,0,45.6,cduerst,1,39.5,25.9,11.4,5.6,5.2,0,39.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Heinsberg,132316,132639,53.4,28.3,2.2,4.3,5.7,0,53.4,cduerst,1,49.3,26.3,4.9,5.2,5.5,0,49.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0
90,Düren,149838,150134,41.9,31.7,5.9,4.4,5.5,0,41.9,cduerst,1,34.9,29.2,11.4,5.9,5.5,0,34.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Düren,142776,143471,50.4,34.2,1.9,5.1,4.9,0,50.4,cduerst,1,44.3,29.7,5,5.7,6.1,0,44.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0
91,Rhein-Erft-Kreis I,189339,189868,39.2,31.1,9.3,4.5,5.5,0,39.2,cduerst,1,33.5,26.3,14.4,6,6.6,0,33.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Rhein-Erft-Kreis I,176775,178735,47.3,36,3,4.4,5.6,0,47.3,cduerst,1,42.3,30.8,5.7,5.2,6.9,0,42.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0
92,Euskirchen – Rhein-Erft-Kreis II,185575,186196,42.8,26.2,9.9,5.8,5.8,0,42.8,cduerst,1,35.7,23.4,14.7,6.1,6.7,0,35.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Euskirchen - Rhein-Erft-Kreis II,174278,175471,50.9,30.8,3.5,4.7,5.8,0,50.9,cduerst,1,45.1,26.8,6.6,5.2,7.1,0,45.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0
93,Köln I,138196,138631,31.6,31,7.7,8.6,9.8,0,31.6,cduerst,1,26.4,24.3,13,11,11.4,0,26.4,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Köln I,131392,131602,36.7,37,2.5,6.5,10.3,0,36.7,spderst,2,33.3,31,5.5,8.1,12.2,0,33.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0
94,Köln II,196761,197078,34.9,26.9,9.1,8,14.6,0,34.9,cduerst,1,28.5,19.5,17.1,10.7,15.5,0,28.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Köln II,182684,183019,40,32.8,2.6,5.2,14.5,0,40,cduerst,1,35.5,26.3,8.1,6.9,15.6,0,35.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0
95,Köln III,149098,149525,27.6,32.3,7.1,9.7,13.2,0,27.6,spderst,2,24.4,24.6,11.3,12.8,14,0,24.4,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Köln III,139949,140346,32.9,39.3,2.3,7.8,12.9,0,32.9,spderst,2,30.6,31.5,4.5,9.2,14.9,0,30.6,spdzweit,2,0,0,0,0,0,0,0,0,0,0
96,Bonn,178941,179208,32,34.9,10.5,5.7,8.4,0,32,spderst,2,29.8,20.2,15.7,9.6,14.1,0,29.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Bonn,172871,173239,37.5,38.2,6,4.4,8.6,0,37.5,spderst,2,36.3,25.9,8.3,6.3,13.7,0,36.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0
97,Rhein-Sieg-Kreis I,180563,182757,44.3,27.7,10.4,8.1,6.5,0,44.3,cduerst,1,34.1,22.4,14.9,7.1,7.5,0,34.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Rhein-Sieg-Kreis I,170402,170747,49.6,29.5,2.4,4.7,6.4,0,49.6,cduerst,1,43.4,27,6.3,5.6,8.2,0,43.4,cduzweit,1,0,0,0,0,0,0,0,0,0,0
98,Rhein-Sieg-Kreis II,172898,173163,46.5,22.7,8.4,5.5,7.9,0,46.5,cduerst,1,35.5,20,17.4,6.4,8.8,0,35.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Rhein-Sieg-Kreis II,162445,162910,52.4,27.1,3.1,3.4,7.2,0,52.4,cduerst,1,45.3,24.3,8.3,4.6,8.7,0,45.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0
99,Oberbergischer Kreis,154631,155034,43.7,26.7,7.8,5.2,6.1,0,43.7,cduerst,1,36.5,22.6,13.8,6.4,6.4,0,36.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Oberbergischer Kreis,148916,148946,52.2,30.1,2.2,4.3,5.2,0,52.2,cduerst,1,45.3,27,5.7,5.4,6.9,0,45.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0
100,Rheinisch-Bergischer Kreis,172240,172529,40,24.4,15.7,4.9,6.9,0,40,cduerst,1,35.6,21,16.7,6.4,9,0,35.6,cduzweit,1,0,0,3,0,0,0,0,0,0,0,Rheinisch-Bergischer Kreis,167604,167720,58.5,25,1.8,4.1,6.8,0,58.5,cduerst,1,43.7,26.1,7,5.1,9,0,43.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0
101,Leverkusen – Köln IV,153520,153711,30.8,38.7,6.6,6.1,5.7,0,30.8,spderst,2,28.1,27.1,12.2,9.3,8.8,0,28.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Leverkusen - Köln IV,147944,148440,39.3,41.3,2.3,5.8,7.2,0,39.3,spderst,2,35.6,32.7,4.9,7.2,9.6,0,35.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0
102,Wuppertal I,148006,148567,29.6,31.5,8.7,8.9,7.4,0,29.6,spderst,2,26.5,26,12.4,10.8,8.6,0,26.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Wuppertal I,143405,143938,36.6,40.7,3,7.7,7.1,0,36.6,spderst,2,33,32.4,5.7,8.7,9.9,0,33,cduzweit,1,0,0,0,0,0,0,0,0,0,0
103,Solingen – Remscheid – Wuppertal II,161762,162469,38.2,30.8,7.8,6.2,5.8,0,38.2,cduerst,1,31.6,25.1,14.1,7.8,7.2,0,31.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Solingen - Remscheid - Wuppertal II,158572,159021,44.3,33.4,2.6,5.8,7.1,0,44.3,cduerst,1,39,30.3,6.1,6.8,8,0,39,cduzweit,1,0,0,0,0,0,0,0,0,0,0
104,Mettmann I,158550,159165,44.6,25.7,8.3,5.5,6.9,0,44.6,cduerst,1,34,23,16.2,6.4,7.4,0,34,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Mettmann I,152673,152883,49.5,34.6,1.9,3.7,5.1,0,49.5,cduerst,1,43,28.2,6.3,5.1,7.7,0,43,cduzweit,1,0,0,0,0,0,0,0,0,0,0
105,Mettmann II,123986,124440,39.3,30.2,8.7,5.5,6.1,0,39.3,cduerst,1,32.6,24.5,15.8,6.8,6.9,0,32.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Mettmann II,121379,121654,45.6,37.1,2.4,4.3,4.9,0,45.6,cduerst,1,41.3,30.9,6.1,5.5,6.9,0,41.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0
106,Düsseldorf I,171387,171910,40.4,24.4,12.8,7.4,8.4,0,40.4,cduerst,1,32,19.5,19.7,8.5,10,0,32,cduzweit,1,0,0,0,0,0,0,0,3,0,0,Düsseldorf I,163393,163675,47.9,29.2,3.6,5.3,8.2,0,47.9,cduerst,1,40.3,26.4,9.2,6.4,9.4,0,40.3,cduzweit,1,0,0,0,0,0,0,0,3,0,0
107,Düsseldorf II,141828,142546,33.8,27.3,9.2,13,8.3,0,33.8,cduerst,1,28.5,23.3,14.9,9.9,10.1,0,28.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Düsseldorf II,137407,138042,40.7,35,2.9,9.1,7.5,0,40.7,cduerst,1,37,30.2,5.8,7.8,9.7,0,37,cduzweit,1,0,0,0,0,0,0,0,0,0,0
108,Neuss I,158292,158775,44,28.6,7.2,5.4,5.1,0,44,cduerst,1,35.9,23.6,14.9,6.2,6,0,35.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Neuss I,152566,152809,51.6,30.6,2.3,3.9,4.7,0,51.6,cduerst,1,45.5,27.9,6.2,5,6.1,0,45.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0
109,Mönchengladbach,130443,130836,44.3,24.4,7.8,6.8,6,0,44.3,cduerst,1,35.8,23.3,13.7,7.4,6.2,0,35.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Mönchengladbach,125606,125942,50.8,29.2,2.3,6.2,6.1,0,50.8,cduerst,1,43.7,28.1,5.9,6.4,6.2,0,43.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0
110,Krefeld I – Neuss II,153673,154190,42.4,25.5,11.5,5.1,6.6,0,42.4,cduerst,1,35.6,22.1,17.4,6.4,7.1,0,35.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Krefeld I - Neuss II,149141,149420,49.1,30.9,3.7,4.1,5.8,0,49.1,cduerst,1,44.7,27.4,7.3,5.2,6.9,0,44.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0
111,Viersen,171590,172018,47.9,25,8.3,5.1,6.7,0,47.9,cduerst,1,38.1,22.3,16,6,6.7,0,38.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Viersen,165604,165797,53,28.5,2.3,4.8,5.4,0,53,cduerst,1,46.3,26.6,6.3,5.4,6.7,0,46.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0
112,Kleve,167383,167658,45,30.6,7.6,4.2,4.9,0,45,cduerst,1,41.6,23.5,13.5,5.6,6,0,41.6,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Kleve,159490,160160,50.9,33.1,3.1,0,5.8,0,50.9,cduerst,1,48.6,27,5.7,4.6,6.2,0,48.6,cduzweit,1,0,0,0,4,0,0,0,0,0,0
113,Wesel I,158681,159098,39,32.8,8,6,5.5,0,39,cduerst,1,33.7,28.7,12.4,6.7,6.1,0,33.7,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Wesel I,152245,152469,43.5,39.2,1.8,4.9,4.9,0,43.5,cduerst,1,39.3,34.9,4.7,6,6.4,0,39.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0
114,Krefeld II – Wesel II,132097,132530,37,32,8.2,5.6,6.1,0,37,cduerst,1,30.9,27.7,13.6,7.6,7,0,30.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Krefeld II - Wesel II,129237,129696,40.1,41.5,2.5,5.4,5.3,0,40.1,spderst,2,36.9,34.6,5.6,6.6,7.3,0,36.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0
115,Duisburg I,118768,119616,28.7,38.3,7,6.9,5.6,0,28.7,spderst,2,25.7,31.7,10.4,8.7,6.6,0,25.7,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Duisburg I,119654,120315,32.2,46.6,1.6,7.4,5.1,0,32.2,spderst,2,30,39.2,3.4,7.9,6.9,0,30,spdzweit,2,0,0,0,0,0,0,0,0,0,0
116,Duisburg II,100308,101792,26.4,34.7,7,8.9,4.6,0,26.4,spderst,2,22.4,34.1,8.2,8.4,4.4,0,22.4,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Duisburg II,103619,104132,29.6,43.2,1.6,8.6,5.2,0,29.6,spderst,2,26.6,43,2.8,8.8,5.2,0,26.6,spdzweit,2,0,0,0,0,0,0,0,0,0,0
117,Oberhausen – Wesel III,148121,148861,29.1,38.5,6.3,7.6,5.6,0,29.1,spderst,2,26.3,33,10,8.3,5.5,0,26.3,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Oberhausen - Wesel III,145210,145767,32.3,45.1,1.7,7.3,7.8,0,32.3,spderst,2,30.1,41.3,3.3,8,6.6,0,30.1,spdzweit,2,0,0,0,0,0,0,0,0,0,0
118,Mülheim – Essen I,141064,141651,31.3,34.9,9,6.5,6.2,0,31.3,spderst,2,28.1,29.5,12.9,7.4,6.7,0,28.1,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Mülheim - Essen I,139165,139478,35.6,42.2,2.5,5.5,6.3,0,35.6,spderst,2,33.9,38.2,4.6,6.4,7.1,0,33.9,spdzweit,2,0,0,0,0,0,0,0,0,0,0
119,Essen II,108754,109215,26.6,37.3,6.6,7.9,5.4,0,26.6,spderst,2,23.4,31.8,9.7,8.7,6.2,0,23.4,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Essen II,106985,107280,31.1,48.3,1.6,7.2,5,0,31.1,spderst,2,28.5,41.7,3.4,8.1,7.1,0,28.5,spdzweit,2,0,0,0,0,0,0,0,0,0,0
120,Essen III,152104,152409,37.1,30.8,8.3,6.5,8.2,0,37.1,cduerst,1,30.1,24.7,15.1,8.3,9.4,0,30.1,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Essen III,149489,149772,39.5,39.5,2,4.9,7.7,0,39.5,cduerst,1,36.3,33.1,5.7,6.6,9.7,0,36.3,cduzweit,1,0,0,0,0,0,0,0,0,0,0
121,Recklinghausen I,122242,122884,30.9,38.7,7.2,6.6,5,0,30.9,spderst,2,28.6,31.6,10.3,7.3,5.8,0,28.6,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Recklinghausen I,120545,120927,34.3,45.2,2,6.1,5.1,0,34.3,spderst,2,33.8,39.8,3.4,6.8,6.4,0,33.8,spdzweit,2,0,0,0,0,0,0,0,0,0,0
122,Recklinghausen II,136147,139510,34.5,41.1,10.2,8.4,4.7,0,34.5,spderst,2,29.4,31.7,10.6,6.6,5.2,0,29.4,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Recklinghausen II,135205,135724,36.5,45.7,1.6,5.6,5,0,36.5,spderst,2,34.7,40.1,3.5,6.3,5.8,0,34.7,spdzweit,2,0,0,0,0,0,0,0,0,0,0
123,Gelsenkirchen,117421,118066,25.4,38.3,6.7,6.5,4.6,0,25.4,spderst,2,22.4,33.5,9.2,7.4,4.6,0,22.4,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Gelsenkirchen,116844,116948,28.6,50.5,1.7,6.1,3.7,0,28.6,spderst,2,27.7,44,3,7.6,5.5,0,27.7,spdzweit,2,0,2,0,0,0,0,2,0,0,0
124,Steinfurt I – Borken I,153182,153578,51.3,25.8,6.6,4.9,5.3,0,51.3,cduerst,1,43.9,23.1,12.6,5.5,6,0,43.9,cduzweit,1,0,0,0,0,0,0,0,0,0,0,Steinfurt I - Borken I,145847,146206,52,31.9,2.8,3.8,5.1,0,52,cduerst,1,49.8,28.1,5.1,4.4,6.1,0,49.8,cduzweit,1,0,0,0,0,0,0,0,0,0,0
125,Bottrop – Recklinghausen III,149859,150514,33.6,36.8,6.5,6.3,4.4,0,33.6,spderst,2,29.9,31.2,10.5,6.8,4.8,0,29.9,spdzweit,2,0,0,0,0,0,0,0,0,0,0,Bottrop - Recklinghausen III,146171,146488,36.5,45.8,1.6,5.4,3.6,0,36.5,spderst,2,34.8,40.1,3.5,6.2,5.5,0,34.8,spdzweit,2,0,0,0,0,0,0,0,0,0,0
126,Borken II,155771,157056,52.3,25.3,9.1,4.5,6.7,0,52.3,cduerst,1,47,21.5,13.1,4.2,5.9,0,47,cduzweit,1,0,0,0,0,0,0,0,0,4,0,Borken II,149986,150269,57.4,27.1,2.3,3,6.4,0,57.4,cduerst,1,53.5,25.5,5.3,3.6,6.1,0,53.5,cduzweit,1,0,0,0,0,0,0,0,0,0,0
