land,sex,name,party,party_en,M,W,M.1,W.1
Zypern,M,Demetris Christofias,Anorthotikó Kómma Ergazómenou Laoú,Progressive Party of Working People,2.6316,,6.1842,
Australien,M,John Howard<br>Tony Abbott<br>Malcolm Turnbull<br>Scott Morrison,Liberal Party of Australia,Liberal Party of Australia,8.4211,,6.9825,
Belgien,M,Elio Di Rupo,Parti Socialiste,Socialist Party [Francophone],2.5938,,3.1712,
Bulgarien,M,Simeon Sakskoburggotski<br>Ognyan Gerdzhikov,Natsionalno Dvizhenie Simeon Vtori,National Movement Simeon II,5.8948,,4.008,
Finnland,M,Paavo Lipponen<br>Antti Rinne,Suomen Sosialidemokraattinen Puolue – Finlands Socialdemokratiska Parti,Social Democratic Party of Finland,3.5454,,4.2417,
Finnland,M,Jyrki Katainen<br>Alexander Stubb,Kansallinen Kokoomus – Samlingspartiet,National Coalition Party,7.6408,,5.5872,
Großbritannien,M,Tony Blair<br>Gordon Brown,Labour Party,Labour,4.5741,,4.2779,
Irland,M,Bertie Ahern<br>Brian Cowen<br>Micheál Martin,Fianna Fáil,Fianna Fail,5.8991,,6.9898,
Island,M,Davíð Oddsson<br>Geir Haarde<br>Bjarni Benediktsson,Sjálfstæðisflokkurinn,Independence Party,7.6316,,4.0351,
Israel,M,Ehud Olmert,Kadima,Forward,6.7,,3.6,
Italien,M,Romano Prodi,Centro-sinistra,Centre Left,3.5,,3.5,
Japan,M,Yoshiro Mori<br>Junichiro Koizumi<br>Shinzo Abe<br>Yasuo Fukuda<br>Taro Aso<br>Yoshihide Suga<br>Fumio Kishida,Jiyu Minshuto,Liberal Democratic Party,4.8094,,7.7747,
Kroatien,M,Ivica Racan<br>Zoran Milanovic,Socijaldemokratska partija Hrvatske,Social Democratic Party of Croatia,5.5263,,2.3684,
Lettland,M,Andris Berzinš,Latvijas Celš,Latvian Way,7.165,,4.835,
Lettland,M,Ivars Godmanis,Latvijas Pirma partija / Latvijas Celš,Latvian First Party / Latvian Way Party,6.4,,7,
Litauen,M,Rolandas Paksas,Liberalu ir centro sajunga,Liberal and Centre Union,8.2271,,2.8532,
Malta,M,Eddie Fenech Adami<br>Lawrence Gonzi,Partit Nazzjonalista,Nationalist Party,4.6617,,6.9173,
Neuseeland,M,John Key<br>Bill English,National Party,National Party,7.2299,,7,
Österreich,M,Wolfgang Schüssel<br>Sebastian Kurz<br>Alexander Schallenberg<br>Karl Nehammer,Österreichische Volkspartei,Austrian People's Party,6.9485,,7.6198,
Portugal,M,José Sócrates<br>António Costa,Partido Socialista,Socialist Party,4.2716,,3.5411,
Rumänien,M,Adrian Nastase<br>Victor Ponta<br>Sorin Grindeanu<br>Mihai Tudose,Partidul Social Democrat,Social Democratic Party,2.4518,,6.2794,
Slowakei,M,Mikuláš Dzurinda,Slovenská demokratická a krestanská únia – Demokratická strana,Slovak Democratic and Christian Union -- Democratic Party,7.4401,,5.0433,
Slowakei,M,Igor Matovic<br>Eduard Heger,Obycajní ludia a nezávislé osobnosti,Ordinary People and Independent,6.4,,7,
Slowenien,M,Borut Pahor,Združena lista – Socialni demokrati,United List -- Social Democrats,3.8001,,2.9642,
Spanien,M,José María Aznar<br>Mariano Rajoy,Alianza-Partido Popular,People's Alliance-Party,7.619,,7.8127,
Tschechien,M,Vladimír Špidla<br>Stanislav Gross<br>Jirí Paroubek<br>Bohuslav Sobotka,Ceská strana sociálne demokratická,Czech Social Democratic Party,3.0031,,4.2463,
Ungarn,M,Péter Medgyessy<br>Ferenc Gyurcsány,Magyar Szocialista Párt,Hungarian Socialist Party,5.5702,,3.5897,
Zypern,M,Glafcos Clerides<br>Nicos Anastasiades,Dimokratikós Sinayermós,Democratic Rally,7.3684,,5,
Deutschland,M,Gerhard Schröder<br>Olaf Scholz,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,3.8443,,3.9791,
Finnland,M,Matti Vanhanen<br>Mari Kiviniemi<br>Juha Sipilä,Keskusta,Centre Party,4.9349,,7.2203,
Island,M,Halldór Ásgrímsson<br>Sigmundur Davíð Gunnlaugsson<br>Sigurður Ingi Jóhannsson,Framsóknarflokkurinn,Progressive Party,5.6579,,3.8596,
Italien,M,Enrico Letta<br>Matteo Renzi<br>Paolo Gentiloni,Partito Democratico,Democratic Party,2.9825,,2.0943,
Luxemburg,M,Xavier Bettel,Demokratesch Partei,Democratic Party,7.3684,,2.7632,
Norwegen,M,Jens Stoltenberg<br>Jonas Gahr Støre,Det norske Arbeiderparti,Norwegian Labour Party,2.9574,,2.7105,
Polen,M,Kazimierz Marcinkiewicz<br>Jaroslaw Kaczynski<br>Mateusz Morawiecki,Prawo i Sprawiedliwosc,Law and Justice,4.0466,,8.2514,
Rumänien,M,Emil Boc<br>Mihai Razvan Ungureanu,Partidul Democrat-Liberal,Democratic Liberal Party,5.1868,,3.9647,
Slowenien,M,Miro Cerar,Stranka modernega,Modern Center Party,3.5,,3.5,
Tschechien,M,Mirek Topolánek<br>Petr Necas<br>Petr Fiala,Obcanská demokratická strana,Civic Democratic Party,7.8985,,4.0087,
Belgien,M,Yves Leterme,Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie,Christian-Democrat and Flemish / New Flemish Alliance,5.7,,7.1,
Estland,M,Andrus Ansip<br>Taavi Rõivas,Eesti Reformierakond,Estonian Reform Party,8.6246,,5.2737,
Irland,M,Enda Kenny<br>Leo Varadkar,Fine Gael,Fine Gael (Familiy of the Irish),6.1603,,5.787,
Israel,M,Naftali Bennett,Yamina,Yamina,5.9,,8.5,
Kanada,M,Jean Chrétien<br>Paul Martin<br>Justin Trudeau,Liberal Party of Canada,Liberal Party of Canada,5.3509,,3.4615,
Lettland,M,Indulis Emsis<br>Maris Kucinskis,Zalo un Zemnieku savieniba,Green and Farmers' Union,5.3947,,6.1184,
Litauen,M,Algirdas Brazauskas<br>Gediminas Kirkilas<br>Algirdas Butkevicius,Lietuvos socialdemokratu partija,Lithuanian Social Democratic Party,3.8262,,5.2732,
Österreich,M,Alfred Gusenbauer<br>Werner Faymann<br>Christian Kern,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,3.4728,,3.4766,
Portugal,M,José Manuel Barroso<br>Pedro Santana Lopes<br>Pedro Passos Coelho,Partido Social Democrata,Social Democratic Party,6.8488,,7.0224,
Rumänien,M,Calin Popescu-Tariceanu<br>Ludovic Orban<br>Florin Cî<U+021B>u<br>Nicolae Ciuca,Partidul National Liberal,National Liberal Party,7.245,,3.5474,
Slowenien,M,Janez Drnovšek<br>Anton Rop,Liberalna demokracija Slovenije,Liberal Democracy of Slovenia,4.6316,,2.5756,
Spanien,M,José Luis Rodríguez Zapatero<br>Pedro Sánchez,Partido Socialista Obrero Español,Spanish Socialist Workers Party,4.0098,,3.0399,
Zypern,M,Tassos Papadopoulos,Dimokratikó Kómma,Democratic Party,4.0789,,6.0526,
Bulgarien,M,Boyko Borisov,Grazhdani za Evropeysko Razvitie na Balgariya,Citizens for European Development of Bulgaria,6.4,,7,
Frankreich,M,Jacques Chirac<br>Nicolas Sarkozy,Union pour un mouvement populaire | Les Républicains,Union for a Popular Movement | The Republicans,6.5934,,7.1854,
Deutschland,W,Angela Merkel,Christlich Demokratische Union / Christlich Soziale Union,Christian Democratic Union / Christian Social Union,,6.3498,,6.9333
Finnland,W,Anneli Jäätteenmäki,Keskusta,Centre Party,,4.9349,,7.2203
Finnland,W,Sanna Marin,Suomen Sosialidemokraattinen Puolue – Finlands Socialdemokratiska Parti,Social Democratic Party of Finland,,3.5454,,4.2417
Island,W,Jóhanna Sigurðardóttir,Samfylkingin,Social Democratic Alliance,,4.2982,,1.0088
Island,W,Katrín Jakobsdóttir,Vinstrihreyfingin – grænt framboð,Left-Green Movement,,1.4474,,1.6667
Polen,W,Beata Szydlo,Prawo i Sprawiedliwosc,Law and Justice,,4.0466,,8.2514
Rumänien,W,Viorica Dancila,Partidul Social Democrat,Social Democratic Party,,2.4518,,6.2794
Schweden,W,Magdalena Andersson,Socialdemokraterna,Social Democrats,,3.5655,,4.4407
Slowenien,W,Alenka Bratušek,Lista Zorana Jankovica – Pozitivna Slovenija,Zoran Jankovic's List -- Positive Slovenia,,3.5,,3.5
Australien,W,Julia Gillard,Australian Labor Party,Australian Labor Party,,4.0351,,3.2632
Dänemark,W,Helle Thorning-Schmidt<br>Mette Frederiksen,Socialdemokraterne,Social Democrats,,3.5292,,4.2722
Estland,W,Kaja Kallas,Eesti Reformierakond,Estonian Reform Party,,8.6246,,5.2737
Litauen,W,Ingrida Šimonyte,Tevynes sajunga,Homeland Union,,6.694,,7.1939
Norwegen,W,Erna Solberg,Høyre,Conservative Party,,8.2957,,3.584
Polen,W,Ewa Kopacz,Platforma Obywatelska,Civic Platform,,8.236,,3.7102
Belgien,W,Sophie Wilmès,Mouvement Réformateur,Reformist Movement,,7.1934,,4.2102
Großbritannien,W,Theresa May,Conservatives,Conservatives,,7.5725,,7.1901
Kroatien,W,Jadranka Kosor,Hrvatska demokratska zajednica,Croatian Democratic Union,,5.7018,,6.9298
Lettland,W,Laimdota Straujuma,Vienotiba,Unity,,6.4,,7
Slowakei,W,Iveta Radicová,Slovenská demokratická a krestanská únia – Demokratická strana,Slovak Democratic and Christian Union -- Democratic Party,,7.4401,,5.0433
Neuseeland,W,Helen Clark<br>Jacinda Ardern,Labour Party,Labour Party,,3.9889,,3.5
