date,Deutschland,Deutschland,Albanienerste,Albanienzweite,Andorraerste,Andorrazweite,Anguillaerste,Anguillazweite,Argentinienerste,Argentinienzweite,Aserbaidschanerste,Aserbaidschanzweite,Australienerste,Australienzweite,Bahrainerste,Bahrainzweite,Bangladescherste,Bangladeschzweite,Barbadoserste,Barbadoszweite,Belaruserste,Belaruszweite,Belgienerste,Belgienzweite,Belizeerste,Belizezweite,Bermudaerste,Bermudazweite,Bolivienerste,Bolivienzweite,Brasilienerste,Brasilienzweite,Bulgarienerste,Bulgarienzweite,Cayman Islandserste,Cayman Islandszweite,Chileerste,Chilezweite,Costa Ricaerste,Costa Ricazweite,Dänemarkerste,Dänemarkzweite,Dominicaerste,Dominicazweite,Dominikanische Republikerste,Dominikanische Republikzweite,Ecuadorerste,Ecuadorzweite,El Salvadorerste,El Salvadorzweite,Estlanderste,Estlandzweite,Falkland Inselnerste,Falkland Inselnzweite,Finnlanderste,Finnlandzweite,Frankreicherste,Frankreichzweite,Ghanaerste,Ghanazweite,Gibraltarerste,Gibraltarzweite,Grenadaerste,Grenadazweite,Griechenlanderste,Griechenlandzweite,Großbritannienerste,Großbritannienzweite,Guernseyerste,Guernseyzweite,Guyanaerste,Guyanazweite,Hongkongerste,Hongkongzweite,Indienerste,Indienzweite,Indonesienerste,Indonesienzweite,Iranerste,Iranzweite,Irlanderste,Irlandzweite,Islanderste,Islandzweite,Isle of Manerste,Isle of Manzweite,Israelerste,Israelzweite,Italienerste,Italienzweite,Jerseyerste,Jerseyzweite,Kambodschaerste,Kambodschazweite,Kanadaerste,Kanadazweite,Kolumbienerste,Kolumbienzweite,Kroatienerste,Kroatienzweite,Kuwaiterste,Kuwaitzweite,Lettlanderste,Lettlandzweite,Litauenerste,Litauenzweite,Luxemburgerste,Luxemburgzweite,Malaysiaerste,Malaysiazweite,Maltaerste,Maltazweite,Marokkoerste,Marokkozweite,Mauritiuserste,Mauritiuszweite,Mexikoerste,Mexikozweite,Moldawienerste,Moldawienzweite,Montenegroerste,Montenegrozweite,Montserraterste,Montserratzweite,Neuseelanderste,Neuseelandzweite,Niederlandeerste,Niederlandezweite,Norwegenerste,Norwegenzweite,Omanerste,Omanzweite,Österreicherste,Österreichzweite,Pakistanerste,Pakistanzweite,Paraguayerste,Paraguayzweite,Peruerste,Peruzweite,Philippinenerste,Philippinenzweite,Polenerste,Polenzweite,Portugalerste,Portugalzweite,Ruandaerste,Ruandazweite,Rumänienerste,Rumänienzweite,Russlanderste,Russlandzweite,Saint Luciaerste,Saint Luciazweite,San Marinoerste,San Marinozweite,Schwedenerste,Schwedenzweite,Schweizerste,Schweizzweite,Senegalerste,Senegalzweite,Serbienerste,Serbienzweite,Seychellenerste,Seychellenzweite,Simbabweerste,Simbabwezweite,Singapurerste,Singapurzweite,Slowakeierste,Slowakeizweite,Slowenienerste,Slowenienzweite,Spanienerste,Spanienzweite,Südafrikaerste,Südafrikazweite,Südkoreaerste,Südkoreazweite,Trinidad Tobagoerste,Trinidad Tobagozweite,Tschechienerste,Tschechienzweite,Türkeierste,Türkeizweite,Turks-und Caicosinselnerste,Turks-und Caicosinselnzweite,Ukraineerste,Ukrainezweite,Ungarnerste,Ungarnzweite,Uruguayerste,Uruguayzweite,USAerste,USAzweite,Venezuelaerste,Venezuelazweite,Vereinigte Arabische Emirateerste,Vereinigte Arabische Emiratezweite,Zypernerste,Zypernzweite
2020-12-27,0.03,,,,,,,,,,,,,,3.15,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.11,,,,,,,,,,,,,,,,0,,,,,,,,,,1.48,,,,,,,,,,,,,,,,,,,,4.51,,0.01,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,0.01,,,,,,,,,,,,0,,,,0.01,,,,,,,,,,,,0.05,,,,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,0.28,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,
2020-12-28,0.05,,,,,,,,,,,,,,3.23,,,,,,0,,0,,,,,,,,,,,,,,0.05,,,,0.15,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,6.08,,0.01,,,,,,,,,,,,,,0.03,,0.19,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,0.03,,0.02,,,,,,,,,,0.01,,0.08,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,0.03,,,,,,,,,,,,0.64,,,,,,,
2020-12-29,0.1,,,,,,,,,,,,,,3.29,,,,,,,,0,,,,,,,,,,0.02,,,,0.05,,,,0.3,,,,,,,,,,,,,,,,0,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,7.9,,0.02,,,,,,,,,,,,,,0.08,,0.3,,,,,,,,,,,,0.01,,,,,,,,,,,,0.03,,0.07,,0.04,,,,,,,,,,0.02,,0.2,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,
2020-12-30,0.17,,,,,,,,,,,,,,3.37,,,,,,,,0.01,,,,,,,,,,0.07,,,,0.05,,,,0.5,,,,,,,,,,,,,,,,0,,,,,,,,0.02,,,,,,,,,,,,,,,,,,1.43,,,,9.68,,0.02,,,,,,,,,,0.19,,,,0.12,,0.36,,0.19,,,,,,,,,,0.02,,,,,,,,,,,,0.04,,0.1,,0.05,,,,,,,,,,0.1,,0.3,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,0.1,,,,,,,,,,,,0.84,,,,,,,
2020-12-31,0.22,,,,,,,,,,,,,,3.45,,,,,,,,0.01,,,,,,,,,,,,,,0.05,,,,0.6,,,,,,,,,,,,,,,,0,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,11.53,,0.07,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.13,,0.05,,,,,,,,,,0.13,,0.32,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,
2021-01-01,0.25,,,,,,,,,,,,,,3.49,,,,,,,,0.01,,,,,,,,,,0.07,,,,0.05,,,,0.64,,,,,,,,,,,,,,,,0,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,12.36,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.05,,,,,,,,,,,,0.32,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,
2021-01-02,0.31,,,,,,,,,,,,,,3.53,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.79,,,,,,,,,,,,,,,,0,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,13.2,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.14,,0.05,,,,,,,,,,0.13,,0.32,,,,0.07,,0.55,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,0.12,,,,,,,,,,,,1.26,,,,,,,
2021-01-03,0.34,,,,,,,,,,,,,,3.57,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.9,,,,,,,,,,,,,,,,0,,,,,,,,0.04,,2.03,0.03,,,,,,,,,,,,,,,,,,,14.94,,0.21,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.17,,0.05,,,,,,,,,,0.13,,0.32,,,,0.07,,,,,,,,0.14,,,,,,,,,,,,,,,,0.58,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,
2021-01-04,0.4,,,,,,,,,,,,,,3.62,,,,,,,,0.01,,,,,,,,,,,,,,0.05,,,,0.94,,,,,,,,,,,,,,,,0,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,16.71,0,0.32,,,,,,,,,,,,,,0.16,,0.36,,,,,,,,,,,,0.03,,,,,,,,,,,,0.04,,0.21,,0.06,,,,,,,,,,0.24,,0.33,,,,0.13,,,,,,,,,,,,,,,,,,,,,,0,,0.63,,0.18,,,,,,,,0.17,,,,,,,,,,,,1.36,,,,,,,
2021-01-05,0.46,,,,,,,,,,,,,,3.75,,,,,,,,0.02,,,,,,,,,,0.08,,,,0.05,,,,1.17,,,,,,,,,,,,,,,,0.01,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,18.18,0,0.45,,,,,,,,,,0.34,,,,0.2,,0.38,,,,,,,,,,,,0.04,,,,,,,,,,,,0.1,,0.25,,0.07,,,,,,,,,,0.37,,0.46,,,,0.22,,,,,,,,,,,,,,,,,,,,,,0.01,,0.75,,0.3,,,,,,,,0.21,,,,,,,,,,,,1.45,,,,,,,
2021-01-06,0.53,,,,,,,,,,,,,,4.02,,,,,,,,0.05,,,,,,,,,,0.11,,,,0.06,,,,1.51,,,,,,,,,,,,,,,,0.03,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,19.39,0,0.56,,,,,,,,,,,,,,0.25,,0.51,,,,,,,,,,,,0.04,,,,,,,,,,,,0.27,,0.27,,0.08,,,,,,,,,,0.42,,0.6,,,,0.3,,,,,,,,,,,,,,,,,,,,,,0.12,,1,,,,,,,,,,0.26,,,,,,,,,,,,1.59,,,,,,0.45,
2021-01-07,0.6,,,,,,,,,,,,,,4.25,,,,,,,,0.12,,,,,,,,,,0.16,,,,0.06,,,,1.81,,,,,,,,,,,,,,,,0.06,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,20.75,0,0.71,,,,,,0.58,0.01,,,0.5,,,,0.29,,0.66,,,,,,,,,,,,0.05,,,,,,,,,,,,0.39,,0.29,,0.12,,,,,,,,,,0.5,,0.7,,,,0.4,,,,,,,,,,,,,,,,,,,,,,0.25,,1.25,,0.44,,,,,,,,0.34,,,,,,,,,,,,1.77,,,,,,,
2021-01-08,0.67,,,,,,,,,,,,,,4.6,,,,,,,,0.2,,,,,,,,,,0.19,,,,0.06,,,,1.96,,,,,,,,,,,,,,,,0.11,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,21.52,0,0.87,,,,,,0.68,0.01,,,0.61,,,,0.34,,0.85,,,,,,,,,,,,0.05,,,,,,,,,,,,0.42,,0.29,,0.26,,,,,,,,,,0.53,,0.73,,,,0.48,,,,,,,,,,,,,,0.1,,,,,,,,0.38,,1.41,,0.59,,,,,,,,0.43,,,,,,,,,,,,2,,,,,,,
2021-01-09,0.74,,,,,,,,,,,,,,4.95,,,,,,,,0.23,,,,,,,,,,0.19,,,,0.06,,,,1.99,,,,,,,,,,,,,,,,0.13,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,22.04,0,1.01,,,,,,0.77,0.02,,,0.73,,,,0.35,,0.86,,,,,,,,,,,,0.06,,,,,,,,,,,,0.42,,0.29,,0.31,,,,,,,,,,0.53,,0.73,,,,0.53,,,,,,,,,,,,,,,,0,,,,,,0.41,,1.42,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,
2021-01-10,0.78,,0,,,,,,,,,,,,5.25,,,,,,,,0.23,,,,0,,,,,,,,,,0.06,,,,2,,,,,,,,,,,,,,,,0.14,,,,1.25,,,,0.43,,3.37,0.58,,,,,,,,,,,,,,,,,,,22.48,0.07,1.11,,,,,,0.83,0.02,,,,,,,0.37,,0.86,,,,,,,,,,,,0.06,,,,,,,,,,,,0.43,,0.31,,0.33,,,,,,,,,,0.54,,0.73,,,,0.56,,,,,,,,0.48,,,,,,0.14,,,,,,,,0.46,,1.42,,,,,,,,,,0.47,,,,0,,,,,,,,,,,,8.46,2.53,0.69,
2021-01-11,0.86,,,,,,,,,,,,,,5.44,,,,,,,,0.28,,,,,,,,,,0.2,,,,0.06,,,,2.02,,,,,,,,,,,,,,,,0.18,,,,4.29,,,,0.48,,3.58,0.61,,,,,,,,,,,,,,,,,,,22.73,0.29,1.24,,,,,,0.94,0.02,,,,,,,0.44,,0.94,,0.31,,,,,,,,,,0.07,,,,,,,,,,,,0.43,,0.36,,0.39,,,,,,,,,,0.68,,0.74,,,,0.65,,,,,,,,,,,,,,,,,,,,0.06,,0.54,,1.44,,0.87,,,,,,,,0.56,,,,,,,,,,,,2.69,,,,,,,
2021-01-12,0.96,,0,,,,,,,,,,,,5.75,,,,,,,,0.42,,,,,,,,,,0.23,,,,0.06,,,,2.02,,,,,,,,,,,,,,,,0.26,,,,7.42,,,,0.54,,3.89,0.63,,,,,,,,,,,,,,,,,,,23.01,0.7,1.38,,,,,,1.01,0.02,,,,,,,0.53,,1.02,,0.38,,,,,,,,,,0.07,,,,,,,,,,,,0.51,,0.4,,0.55,,,,,,,,,,0.82,,0.84,,,,0.73,,,,,,,,,,,,,,,,,,,,0.11,,0.73,,1.53,,1.04,,,,,,,,0.68,,,,,,,,,,,,2.79,,,,,,,
2021-01-13,1.07,,0.01,,,,,,,,,,,,5.96,,,,,,,,0.6,,,,,,,,,,0.25,,,,0.06,0.01,,,2.24,,,,,,,,,,,,,,,,0.35,,,,,,,,0.62,,4.3,0.65,,,,,,,,,,,,,,,,,,,23.62,1.36,1.53,,,,,,1.07,0.04,,,0.84,,,,0.61,,1.25,,0.46,,,,,,,,,,0.15,,,,,,,,,,,,0.69,,0.45,,0.71,,,,,,,,,,0.98,,0.98,,,,0.8,,0.69,,,,,,,,,,,,,,2.03,,,,,,0.86,,1.75,,1.24,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,
2021-01-14,1.19,0,0.01,,,,,,,,,,,,6.44,,,,,,,,0.8,,,,,,,,,,0.25,,,,0.07,0.03,,,2.55,,,,,,,,,,,,,,,,0.45,,,,,,,,0.68,,4.77,0.65,,,,,,,,,,,,,,,,,,,24.27,2.16,1.69,,,,,,1.16,0.06,,,0.93,,,,0.71,,1.57,,0.52,,,,,,,,,,0.26,,,,,,,,,,,,0.85,,0.47,,0.88,,,,,,,,,,1.08,,1.09,,,,0.8,,,,,,,,,,,,,,0.27,,,,,,,,0.99,,2.07,,1.45,,,,,,,,0.95,,,,,,,,,,,,2.9,0.4,,,,,,
2021-01-15,1.3,0,0.01,,,,,,,,,,,,7.22,,,,,,,,1,,,,,,,,,,0.26,,,,0.07,0.04,0.49,0,2.81,0,,,,,,,,,,,,,,,0.54,,,,15.24,,,,0.72,,5.27,0.66,,,,,,,0,,,,,,,,,,,,24.63,2.58,1.83,,,,,,1.27,0.07,,,1.01,,,,0.8,,1.83,,,,,,,,,,,,0.32,0,,,,,,,,,,,0.93,,,,1.08,,,,,,,,,,1.15,,1.16,,,,0.95,,,,,,,,,,,,,,,,4.07,,,,,,1.14,,2.3,,1.64,,,,,,,,1.08,,,,,,,,,,,,3.17,0.48,,,,,,
2021-01-16,1.37,0,0.01,,,,,,,,,,,,8.06,,,,,,,,1.04,,,,2.67,,,,0,,0.26,,,,0.07,0.04,,,2.89,0,,,,,,,,,,,,,,,0.56,,,,17.35,,,,0.77,0,5.7,0.66,,,,,,,0.01,,,,,,,,,,,,24.97,2.88,1.94,,,,,,1.36,0.08,,,1.12,,,,0.84,,1.88,,,,,,,,,,,,0.36,0,,,,,,,,,,,0.94,,0.49,,1.15,,,,,,,,,,1.21,,1.18,,,,1.02,,,,,,,,,,,,,,,,7.12,,,,,,1.16,,2.32,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,1.17,
2021-01-17,1.41,0.02,0.01,,,,,,,,0,,,,8.32,,,,,,,,1.07,,,,,,,,0,,0.27,,,,0.07,0.04,,,2.94,0.01,,,,,,,,,,,,,,,0.58,,,,17.35,,,,,,5.98,0.67,,,,,,,0.02,,,,,,,,,,,,25.76,3.86,2,0,,,,,1.43,0.08,,,,,,,0.85,,1.88,0.04,0.6,,,,2.65,,,,,,0.36,0,,,,,,,,,0.45,,0.95,0,0.49,0.01,1.21,0,,,,,,,,,1.24,0,1.18,0.01,,,1.06,0,,,,,,,1.2,0,,,,,,,,,,,,,1.16,,2.32,,,,,,,,,,1.14,0.01,,,,,,,,,,,,,,,,,,
2021-01-18,1.48,0.04,0.02,,,,,,,,,,,,8.39,,,,,,,,1.16,0,,,,,,,0,,0.27,0.02,,,0.13,0.04,0.57,0,3,0.05,,,,,,,,,,,,,,,0.69,,,,19.1,,,,0.82,0,6.28,0.67,,,,,,,0.03,,,,,,,,,,,,26.57,5.24,2.06,0.01,,,,,1.54,0.08,,,,,,,0.86,0.03,1.98,0.1,0.73,,,,2.94,,,,,,0.38,0.01,,,,,,,,,,,0.97,0.01,0.49,0.04,1.32,0.01,,,,,,,,,1.3,0.01,1.21,0.02,,,1.21,0.01,,,,,,,,,,,,,,,,,,,,,1.32,0.01,2.32,0.01,1.92,0,,,,,,,1.25,0.02,,,,,,,1.34,0.02,,,,,,,,,,
2021-01-19,1.56,0.07,0.02,,,,,,,,,,,,8.44,,,,,,,,1.33,0,,,,,,,0.01,,0.27,0.05,,,0.23,0.04,,,3.05,0.09,,,,,,,,,,,,,,,0.86,,,,20.83,,,,0.9,0.01,6.79,0.68,,,,,,,0.05,,,,,,,,,,,,27.4,6.83,2.11,0.02,,,,,1.63,0.1,,,1.32,,,,0.86,0.07,2.07,0.25,0.85,,,,3.23,,,,,,0.38,0.01,,,,,,,,,,,1.06,0.02,0.49,0.06,1.59,0.03,,,,,,,,,1.4,0.03,1.36,0.09,,,1.39,0.01,,,,,,,,,,,,,,,11.16,,,,,,1.45,0.02,2.35,0.09,2.05,0.02,,,,,,,1.37,0.05,,,,,,,1.35,0.03,,,4.07,0.6,,,,,,
2021-01-20,1.65,0.13,0.02,,,,,,0.54,0.01,,,,,8.47,,,,,,,,1.51,0.01,,,,,,,0.01,,0.29,0.06,,,0.28,0.04,,,3.07,0.12,,,,,,,,,,,,,,,1.05,,,,20.83,,,,1.04,0.02,7.33,0.68,,,,,,,0.06,,,,,,,,1.68,0.14,,,28.29,8.49,2.15,0.02,,,,,1.7,0.14,,,,,,,0.87,0.11,2.13,0.31,0.99,,,,3.47,,,,,,0.38,0.01,,,,,,,,,,,1.24,0.03,0.49,0.09,1.83,0.04,,,,,,,,,1.5,0.07,1.56,0.18,,,1.57,0.03,,,,,,,,,,,,,0.66,,13.39,,,,,,1.58,0.03,2.4,0.25,2.16,0.03,,,,,,,1.49,0.07,,,,,,,1.39,0.04,,,4.27,0.65,,,,,,
2021-01-21,1.72,0.17,0.02,,,,,,0.55,0.04,,,,,,,,,,,,,1.76,0.01,,,,,,,0.06,,0.3,0.07,,,0.3,0.04,,,3.1,0.16,,,,,0,,,,,,,,,,1.25,,,,23.59,,,,1.19,0.02,7.93,0.69,,,,,,,0.08,,,,,,,,,,,,29.09,10.38,2.18,0.06,,,,,1.79,0.17,,,,,,,0.88,0.11,2.16,0.34,1.1,,,,3.74,,,,,,0.41,0.01,,,,,,,,,,,1.4,0.04,,,2.04,0.04,,,,,,,,,1.6,0.1,1.83,0.23,,,1.76,0.05,,,,,,,,,,,,,1.25,,,,,,,,1.7,0.05,2.47,0.41,2.25,0.1,,,,,,,1.64,0.09,,,,,,,1.44,0.06,,,4.5,0.72,,,,,,
2021-01-22,1.83,0.21,,,,,,,0.56,0.06,,,,,,,,,,,,,2.02,0.01,,,,,,,0.12,,0.31,0.07,,,0.3,0.04,,,3.11,0.26,,,,,0,,,,,,,,,,1.41,,,,26.35,,,,1.36,0.02,8.63,0.69,,,,,,,0.1,,,,,,,,,,,,29.53,11.2,2.2,0.08,,,,,1.86,0.2,,,,,,,0.89,0.11,2.17,0.34,,,,,4.02,,,,,,0.46,0.02,,,,,,,,,,,1.46,0.04,,,2.16,0.05,,,,,,,,,1.69,0.12,2.07,0.25,,,1.95,0.06,,,,,,,,,,,,,1.76,,17.18,,,,1.03,,1.83,0.05,2.52,0.46,2.35,0.15,,,,,,,1.78,0.1,,,,,,,1.48,0.07,,,4.86,0.82,,,,,,
