date,Deutschland,Deutschland,Albanienerste,Albanienzweite,Andorraerste,Andorrazweite,Anguillaerste,Anguillazweite,Argentinienerste,Argentinienzweite,Aserbaidschanerste,Aserbaidschanzweite,Australienerste,Australienzweite,Bahrainerste,Bahrainzweite,Bangladescherste,Bangladeschzweite,Barbadoserste,Barbadoszweite,Belaruserste,Belaruszweite,Belgienerste,Belgienzweite,Belizeerste,Belizezweite,Bermudaerste,Bermudazweite,Bolivienerste,Bolivienzweite,Brasilienerste,Brasilienzweite,Bulgarienerste,Bulgarienzweite,Cayman Islandserste,Cayman Islandszweite,Chileerste,Chilezweite,Costa Ricaerste,Costa Ricazweite,Dänemarkerste,Dänemarkzweite,Dominicaerste,Dominicazweite,Dominikanische Republikerste,Dominikanische Republikzweite,Ecuadorerste,Ecuadorzweite,El Salvadorerste,El Salvadorzweite,Estlanderste,Estlandzweite,Falkland Inselnerste,Falkland Inselnzweite,Finnlanderste,Finnlandzweite,Frankreicherste,Frankreichzweite,Ghanaerste,Ghanazweite,Gibraltarerste,Gibraltarzweite,Grenadaerste,Grenadazweite,Griechenlanderste,Griechenlandzweite,Großbritannienerste,Großbritannienzweite,Guernseyerste,Guernseyzweite,Guyanaerste,Guyanazweite,Hongkongerste,Hongkongzweite,Indienerste,Indienzweite,Indonesienerste,Indonesienzweite,Iranerste,Iranzweite,Irlanderste,Irlandzweite,Islanderste,Islandzweite,Isle of Manerste,Isle of Manzweite,Israelerste,Israelzweite,Italienerste,Italienzweite,Jerseyerste,Jerseyzweite,Kambodschaerste,Kambodschazweite,Kanadaerste,Kanadazweite,Kolumbienerste,Kolumbienzweite,Kroatienerste,Kroatienzweite,Kuwaiterste,Kuwaitzweite,Lettlanderste,Lettlandzweite,Litauenerste,Litauenzweite,Luxemburgerste,Luxemburgzweite,Malaysiaerste,Malaysiazweite,Maltaerste,Maltazweite,Marokkoerste,Marokkozweite,Mauritiuserste,Mauritiuszweite,Mexikoerste,Mexikozweite,Moldawienerste,Moldawienzweite,Montenegroerste,Montenegrozweite,Montserraterste,Montserratzweite,Neuseelanderste,Neuseelandzweite,Niederlandeerste,Niederlandezweite,Norwegenerste,Norwegenzweite,Omanerste,Omanzweite,Österreicherste,Österreichzweite,Pakistanerste,Pakistanzweite,Paraguayerste,Paraguayzweite,Peruerste,Peruzweite,Philippinenerste,Philippinenzweite,Polenerste,Polenzweite,Portugalerste,Portugalzweite,Ruandaerste,Ruandazweite,Rumänienerste,Rumänienzweite,Russlanderste,Russlandzweite,Saint Luciaerste,Saint Luciazweite,San Marinoerste,San Marinozweite,Schwedenerste,Schwedenzweite,Schweizerste,Schweizzweite,Senegalerste,Senegalzweite,Serbienerste,Serbienzweite,Seychellenerste,Seychellenzweite,Simbabweerste,Simbabwezweite,Singapurerste,Singapurzweite,Slowakeierste,Slowakeizweite,Slowenienerste,Slowenienzweite,Spanienerste,Spanienzweite,Südafrikaerste,Südafrikazweite,Südkoreaerste,Südkoreazweite,Trinidad Tobagoerste,Trinidad Tobagozweite,Tschechienerste,Tschechienzweite,Türkeierste,Türkeizweite,Turks-und Caicosinselnerste,Turks-und Caicosinselnzweite,Ukraineerste,Ukrainezweite,Ungarnerste,Ungarnzweite,Uruguayerste,Uruguayzweite,USAerste,USAzweite,Venezuelaerste,Venezuelazweite,Vereinigte Arabische Emirateerste,Vereinigte Arabische Emiratezweite,Zypernerste,Zypernzweite
2020-12-27,0.03,null,null,null,null,null,null,null,null,null,null,null,null,null,3.15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.05,null,null,null,0.11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,1.48,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.51,null,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.09,null,null,null,null,null,null,null,null,null,null,null,0.01,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,0.01,null,null,null,null,null,null,null,null,null,null,null,0.05,null,null,null,0.01,null,null,null,null,null,null,null,0.02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.28,null,null,null,null,null,null,null,null,null,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-12-28,0.05,null,null,null,null,null,null,null,null,null,null,null,null,null,3.23,null,null,null,null,null,0,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,0.05,null,null,null,0.15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6.08,null,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,0.03,null,0.19,null,null,null,null,null,null,null,null,null,null,null,0.01,null,null,null,null,null,null,null,null,null,null,null,0.01,null,0.03,null,0.02,null,null,null,null,null,null,null,null,null,0.01,null,0.08,null,null,null,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.36,null,null,null,null,null,null,null,null,null,0.03,null,null,null,null,null,null,null,null,null,null,null,0.64,null,null,null,null,null,null,null
2020-12-29,0.1,null,null,null,null,null,null,null,null,null,null,null,null,null,3.29,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,0.02,null,null,null,0.05,null,null,null,0.3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7.9,null,0.02,null,null,null,null,null,null,null,null,null,null,null,null,null,0.08,null,0.3,null,null,null,null,null,null,null,null,null,null,null,0.01,null,null,null,null,null,null,null,null,null,null,null,0.03,null,0.07,null,0.04,null,null,null,null,null,null,null,null,null,0.02,null,0.2,null,null,null,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.41,null,null,null,null,null,null,null,null,null,0.07,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-12-30,0.17,null,null,null,null,null,null,null,null,null,null,null,null,null,3.37,null,null,null,null,null,null,null,0.01,null,null,null,null,null,null,null,null,null,0.07,null,null,null,0.05,null,null,null,0.5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0.02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.43,null,null,null,9.68,null,0.02,null,null,null,null,null,null,null,null,null,0.19,null,null,null,0.12,null,0.36,null,0.19,null,null,null,null,null,null,null,null,null,0.02,null,null,null,null,null,null,null,null,null,null,null,0.04,null,0.1,null,0.05,null,null,null,null,null,null,null,null,null,0.1,null,0.3,null,null,null,0.03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.43,null,null,null,null,null,null,null,null,null,0.1,null,null,null,null,null,null,null,null,null,null,null,0.84,null,null,null,null,null,null,null
2020-12-31,0.22,null,null,null,null,null,null,null,null,null,null,null,null,null,3.45,null,null,null,null,null,null,null,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,0.05,null,null,null,0.6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0.02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11.53,null,0.07,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.36,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.04,null,0.13,null,0.05,null,null,null,null,null,null,null,null,null,0.13,null,0.32,null,null,null,0.05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.52,null,null,null,null,null,null,null,null,null,0.11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2021-01-01,0.25,null,null,null,null,null,null,null,null,null,null,null,null,null,3.49,null,null,null,null,null,null,null,0.01,null,null,null,null,null,null,null,null,null,0.07,null,null,null,0.05,null,null,null,0.64,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0.02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12.36,null,0.08,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.04,null,null,null,0.05,null,null,null,null,null,null,null,null,null,null,null,0.32,null,null,null,0.06,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.53,null,null,null,null,null,null,null,null,null,0.11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2021-01-02,0.31,null,null,null,null,null,null,null,null,null,null,null,null,null,3.53,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.05,null,null,null,0.79,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0.03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13.2,null,0.15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.04,null,0.14,null,0.05,null,null,null,null,null,null,null,null,null,0.13,null,0.32,null,null,null,0.07,null,0.55,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.55,null,null,null,null,null,null,null,null,null,0.12,null,null,null,null,null,null,null,null,null,null,null,1.26,null,null,null,null,null,null,null
2021-01-03,0.34,null,null,null,null,null,null,null,null,null,null,null,null,null,3.57,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.05,null,null,null,0.9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0.04,null,2.03,0.03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,14.94,null,0.21,null,null,null,null,null,null,null,null,null,0.3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.04,null,0.17,null,0.05,null,null,null,null,null,null,null,null,null,0.13,null,0.32,null,null,null,0.07,null,null,null,null,null,null,null,0.14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.58,null,null,null,null,null,null,null,null,null,0.13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2021-01-04,0.4,null,null,null,null,null,null,null,null,null,null,null,null,null,3.62,null,null,null,null,null,null,null,0.01,null,null,null,null,null,null,null,null,null,null,null,null,null,0.05,null,null,null,0.94,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,0.1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16.71,0,0.32,null,null,null,null,null,null,null,null,null,null,null,null,null,0.16,null,0.36,null,null,null,null,null,null,null,null,null,null,null,0.03,null,null,null,null,null,null,null,null,null,null,null,0.04,null,0.21,null,0.06,null,null,null,null,null,null,null,null,null,0.24,null,0.33,null,null,null,0.13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,0.63,null,0.18,null,null,null,null,null,null,null,0.17,null,null,null,null,null,null,null,null,null,null,null,1.36,null,null,null,null,null,null,null
2021-01-05,0.46,null,null,null,null,null,null,null,null,null,null,null,null,null,3.75,null,null,null,null,null,null,null,0.02,null,null,null,null,null,null,null,null,null,0.08,null,null,null,0.05,null,null,null,1.17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.01,null,null,null,null,null,null,null,0.16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18.18,0,0.45,null,null,null,null,null,null,null,null,null,0.34,null,null,null,0.2,null,0.38,null,null,null,null,null,null,null,null,null,null,null,0.04,null,null,null,null,null,null,null,null,null,null,null,0.1,null,0.25,null,0.07,null,null,null,null,null,null,null,null,null,0.37,null,0.46,null,null,null,0.22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.01,null,0.75,null,0.3,null,null,null,null,null,null,null,0.21,null,null,null,null,null,null,null,null,null,null,null,1.45,null,null,null,null,null,null,null
2021-01-06,0.53,null,null,null,null,null,null,null,null,null,null,null,null,null,4.02,null,null,null,null,null,null,null,0.05,null,null,null,null,null,null,null,null,null,0.11,null,null,null,0.06,null,null,null,1.51,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.03,null,null,null,null,null,null,null,0.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19.39,0,0.56,null,null,null,null,null,null,null,null,null,null,null,null,null,0.25,null,0.51,null,null,null,null,null,null,null,null,null,null,null,0.04,null,null,null,null,null,null,null,null,null,null,null,0.27,null,0.27,null,0.08,null,null,null,null,null,null,null,null,null,0.42,null,0.6,null,null,null,0.3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.12,null,1,null,null,null,null,null,null,null,null,null,0.26,null,null,null,null,null,null,null,null,null,null,null,1.59,null,null,null,null,null,0.45,null
2021-01-07,0.6,null,null,null,null,null,null,null,null,null,null,null,null,null,4.25,null,null,null,null,null,null,null,0.12,null,null,null,null,null,null,null,null,null,0.16,null,null,null,0.06,null,null,null,1.81,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.06,null,null,null,null,null,null,null,0.25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20.75,0,0.71,null,null,null,null,null,0.58,0.01,null,null,0.5,null,null,null,0.29,null,0.66,null,null,null,null,null,null,null,null,null,null,null,0.05,null,null,null,null,null,null,null,null,null,null,null,0.39,null,0.29,null,0.12,null,null,null,null,null,null,null,null,null,0.5,null,0.7,null,null,null,0.4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.25,null,1.25,null,0.44,null,null,null,null,null,null,null,0.34,null,null,null,null,null,null,null,null,null,null,null,1.77,null,null,null,null,null,null,null
2021-01-08,0.67,null,null,null,null,null,null,null,null,null,null,null,null,null,4.6,null,null,null,null,null,null,null,0.2,null,null,null,null,null,null,null,null,null,0.19,null,null,null,0.06,null,null,null,1.96,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.11,null,null,null,null,null,null,null,0.34,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21.52,0,0.87,null,null,null,null,null,0.68,0.01,null,null,0.61,null,null,null,0.34,null,0.85,null,null,null,null,null,null,null,null,null,null,null,0.05,null,null,null,null,null,null,null,null,null,null,null,0.42,null,0.29,null,0.26,null,null,null,null,null,null,null,null,null,0.53,null,0.73,null,null,null,0.48,null,null,null,null,null,null,null,null,null,null,null,null,null,0.1,null,null,null,null,null,null,null,0.38,null,1.41,null,0.59,null,null,null,null,null,null,null,0.43,null,null,null,null,null,null,null,null,null,null,null,2,null,null,null,null,null,null,null
2021-01-09,0.74,null,null,null,null,null,null,null,null,null,null,null,null,null,4.95,null,null,null,null,null,null,null,0.23,null,null,null,null,null,null,null,null,null,0.19,null,null,null,0.06,null,null,null,1.99,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.13,null,null,null,null,null,null,null,0.39,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22.04,0,1.01,null,null,null,null,null,0.77,0.02,null,null,0.73,null,null,null,0.35,null,0.86,null,null,null,null,null,null,null,null,null,null,null,0.06,null,null,null,null,null,null,null,null,null,null,null,0.42,null,0.29,null,0.31,null,null,null,null,null,null,null,null,null,0.53,null,0.73,null,null,null,0.53,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,0.41,null,1.42,null,null,null,null,null,null,null,null,null,0.45,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
